rawg_id,title,experience_tags,content_warnings,ratings_count,desc_len,rawg_url
30899,Mafia: The City of Lost Heaven,['story-driven'],"['strong language', 'violence']",1302,1411,https://rawg.io/games/mafia-the-city-of-lost-heaven
108,Mortal Kombat X,"['competitive', 'cooperative']","['strong language', 'violence']",2108,1121,https://rawg.io/games/mortal-kombat-x
21924,Call of Duty: WWII,"['story-driven', 'competitive', 'cooperative']","['sexual content', 'strong language', 'violence']",1174,1473,https://rawg.io/games/call-of-duty-wwii
4280,Max Payne 3,"['story-driven', 'competitive', 'cooperative']","['sexual content', 'strong language', 'violence']",1925,1154,https://rawg.io/games/max-payne-3
13820,The Elder Scrolls III: Morrowind,['story-driven'],['violence'],1044,2254,https://rawg.io/games/morrowind
13627,Undertale,"['story-driven', 'cozy']",[],1869,1157,https://rawg.io/games/undertale
45821,Frostpunk,['cozy'],"['strong language', 'violence']",1052,2010,https://rawg.io/games/frostpunk
2743,Heavy Rain,['story-driven'],"['sexual content', 'strong language', 'violence']",2444,1084,https://rawg.io/games/heavy-rain
13537,Half-Life 2,"['story-driven', 'competitive']","['strong language', 'violence']",4046,1048,https://rawg.io/games/half-life-2
1030,Limbo,"['story-driven', 'cozy']",[],3373,1052,https://rawg.io/games/limbo
4527,Call of Duty: Modern Warfare 2,"['story-driven', 'competitive', 'cooperative']","['strong language', 'violence']",2055,1112,https://rawg.io/games/modern-warfare-2
306124,Borderlands Game of the Year Enhanced,"['story-driven', 'competitive', 'cooperative']","['sexual content', 'strong language', 'violence']",1032,1858,https://rawg.io/games/borderlands-game-of-the-year-enhanced
4439,Mass Effect 3,['story-driven'],"['strong language', 'violence']",1770,1143,https://rawg.io/games/mass-effect-3
2553,Ratchet & Clank,"['story-driven', 'competitive']",[],1458,1228,https://rawg.io/games/ratchet-clank
2093,No Man's Sky,"['story-driven', 'competitive', 'cozy']",[],1570,1193,https://rawg.io/games/no-mans-sky
3757,South Park: The Stick of Truth,['story-driven'],"['sexual content', 'strong language', 'violence']",1706,1153,https://rawg.io/games/south-park-the-stick-of-truth
10141,NieR:Automata,['story-driven'],"['sexual content', 'strong language', 'violence']",2145,1088,https://rawg.io/games/nierautomata
3497,Far Cry 4,"['story-driven', 'competitive', 'cooperative']","['strong language', 'violence']",1911,1125,https://rawg.io/games/far-cry-4
49,Persona 5,['story-driven'],"['strong language', 'violence']",1432,1213,https://rawg.io/games/persona-5
4252,Mirror's Edge,['story-driven'],[],2365,1070,https://rawg.io/games/mirrors-edge
5562,Fallout 3,"['story-driven', 'competitive']","['strong language', 'violence']",1930,1121,https://rawg.io/games/fallout-3
3144,Super Meat Boy,['story-driven'],[],1757,1129,https://rawg.io/games/super-meat-boy
1450,INSIDE,"['story-driven', 'cozy']",[],2557,1054,https://rawg.io/games/inside
1256,XCOM 2,"['story-driven', 'competitive', 'cooperative']",[],1307,1263,https://rawg.io/games/xcom-2
4535,Call of Duty 4: Modern Warfare,"['story-driven', 'competitive', 'cooperative']","['strong language', 'violence']",1821,1120,https://rawg.io/games/modern-warfare
492,Yakuza 0,"['story-driven', 'competitive']","['sexual content', 'strong language', 'violence']",1126,1385,https://rawg.io/games/yakuza-0
324997,Baldur's Gate III,"['story-driven', 'competitive', 'cooperative']","['strong language', 'violence']",957,1862,https://rawg.io/games/baldurs-gate-3
480,Resident Evil 7: Biohazard,"['story-driven', 'competitive']","['strong language', 'violence']",1957,1105,https://rawg.io/games/resident-evil-7-biohazard
